anio,ciiuc,cod_ciudad,caja,inversiones,activo_corriente,activo_no_corriente,activo,obl_finan,proveedores,obl_laborales,pasivo_corriente,pasivo_no_corriente,pasivo,patrimonio,ing_operacionales,utilidad,sectorppal2,ing2,ing2_def,id
2013,5229,11001,5137,871685,2853280,494881,3348161,0,458433,41276,919417,0,919417,2428744,4812465,745273,5229,5108281,42073,2871
2013,5219,11001,2,1652,905231,63300,968531,187049,382173,23960,660208,0,660208,308323,901847,38732,5219,1091852,9050,3378
2013,5223,11001,108808,12815,3794258,3702403,7496661,2725344,1544620,171828,4883565,1206437,6090002,1406659,22721757,151352,5223,22830723,188041,3492
2013,5229,11001,1500,12277,3774265,3047781,6822046,558479,1254011,66337,2200398,331248,2531646,4290400,8830516,-188204,5229,8842515,74597,3564
2013,5221,11001,12005,0,959533,9344,968877,21108,1155,13942,319739,0,319739,649138,1718659,54591,5221,1760780,14471,3850
2013,5229,11001,87479,0,664495,656966,1321461,302297,32849,0,342675,0,342675,978786,501426,-2135,5229,502136,4135,4111
2013,5219,11001,60886,0,633056,160580,793636,0,6571,3667,122040,0,122040,671596,431216,44148,3520,433553,4705,4498
2013,5222,25126,17197,0,2142571,1976409,4118980,222691,270537,103653,814560,2643675,3458235,660745,6562909,-371779,5222,6576740,52612,4948
2013,5219,68001,79,0,488690,788088,1276778,70799,154777,0,257396,217411,474807,801971,1534393,64267,5219,1542634,12888,5590
2013,5229,11001,0,438234,5509661,6613140,12122801,0,0,99631,267665,0,267665,11855136,1911250,1760086,5229,1911250,15059,5592
2013,5225,17001,0,0,363565,275404,638969,0,4423,0,32538,0,32538,606431,381714,29373,5225,381714,3143,6010
2013,5223,11001,11611,0,4011539,3958160,7969699,1089095,1804900,0,3878386,2867256,6745642,1224057,38431523,170351,5223,38511689,315932,6706
2013,5223,5001,29219,6863,4211492,8127821,12339313,312422,3237854,364444,4793903,3692469,8486372,3852941,54265953,46294,5223,56509902,461570,6947
